Symbol: IDCBY Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,10.0,$38.40,11/24/10,,$13.50,10.0,
2,FReversalSwing(BUY),Buy to Open,10.0,$38.53,12/8/10,,$20.70,20.0,
3,FReversalSwing(SELL),Sell to Close,-20.0,$37.61,12/16/10,($17.10),($17.10),0.0,
4,FReversalSwing(BUY),Buy to Open,27.0,$14.32,2/8/13,,($14.16),27.0,
5,FReversalSwing(BUY),Buy to Open,27.0,$14.30,2/21/13,,($24.15),54.0,
6,FReversalSwing(BUY),Buy to Open,28.0,$14.18,2/22/13,,($29.72),82.0,
7,FReversalSwing(SELL),Sell to Close,-82.0,$13.86,4/26/13,($33.29),($50.39),0.0,
8,FReversalSwing(BUY),Buy to Open,29.0,$13.50,6/10/13,,($55.03),29.0,
9,FReversalSwing(SELL),Sell to Close,-29.0,$12.95,6/13/13,($15.85),($66.24),0.0,
10,FReversalSwing(BUY),Buy to Open,28.0,$13.91,3/6/15,,($67.92),28.0,
11,FReversalSwing(BUY),Buy to Open,28.0,$13.85,3/9/15,,($54.09),56.0,
12,FReversalSwing(BUY),Buy to Open,29.0,$13.79,3/11/15,,($67.31),85.0,
13,FReversalSwing(SELL),Sell to Close,-85.0,$14.58,3/19/15,$62.26,($3.99),0.0,
14,FReversalSwing(BUY),Buy to Open,24.0,$16.53,6/17/15,,($3.99),24.0,
15,FReversalSwing(BUY),Buy to Open,24.0,$16.53,6/18/15,,($4.47),48.0,
16,FReversalSwing(BUY),Buy to Open,24.0,$16.52,6/19/15,,($13.11),72.0,
17,FReversalSwing(SELL),Sell to Close,-72.0,$17.31,6/25/15,$56.40,$52.41,0.0,
18,FReversalSwing(BUY),Buy to Open,24.0,$16.19,6/29/15,,$35.85,24.0,
19,FReversalSwing(BUY),Buy to Open,25.0,$15.50,6/30/15,,$52.51,49.0,
20,FReversalSwing(BUY),Buy to Open,25.0,$15.84,7/1/15,,$42.15,74.0,
21,FReversalSwing(SELL),Sell to Close,-74.0,$13.73,7/31/15,($156.04),($103.63),0.0,
22,FReversalSwing(BUY),Buy to Open,31.0,$12.72,4/12/17,,($99.60),31.0,
23,FReversalSwing(BUY),Buy to Open,31.0,$12.64,4/19/17,,($110.45),62.0,
24,FReversalSwing(BUY),Buy to Open,31.0,$12.57,4/20/17,,($94.64),93.0,
25,FReversalSwing(SELL),Sell to Close,-93.0,$13.16,4/26/17,$48.05,($55.58),0.0,
26,FReversalSwing(BUY),Buy to Open,31.0,$12.74,6/30/17,,($54.03),31.0,
27,FReversalSwing(BUY),Buy to Open,31.0,$12.79,7/3/17,,($50.31),62.0,
28,FReversalSwing(BUY),Buy to Open,31.0,$12.66,7/6/17,,($72.32),93.0,
29,FReversalSwing(SELL),Sell to Close,-93.0,$13.36,7/13/17,$58.59,$3.01,0.0,
30,FReversalSwing(BUY),Buy to Open,26.0,$15.34,11/16/17,,$11.59,26.0,
31,FReversalSwing(SELL),Sell to Close,-26.0,$16.14,11/22/17,$20.80,$23.81,0.0,
32,FReversalSwing(BUY),Buy to Open,26.0,$15.10,12/7/17,,$24.59,26.0,
33,FReversalSwing(BUY),Buy to Open,26.0,$15.13,12/8/17,,$25.63,52.0,
34,FReversalSwing(BUY),Buy to Open,26.0,$15.15,12/11/17,,$42.01,78.0,
35,FReversalSwing(SELL),Sell to Close,-78.0,$16.00,12/14/17,$68.12,$91.93,0.0,
36,FReversalSwing(BUY),Buy to Open,23.0,$16.80,2/9/18,,$91.70,23.0,
37,FReversalSwing(BUY),Buy to Open,23.0,$16.79,2/12/18,,$88.48,46.0,
38,FReversalSwing(BUY),Buy to Open,23.0,$16.72,2/13/18,,$89.17,69.0,
39,FReversalSwing(SELL),Sell to Close,-69.0,$18.09,2/16/18,$91.08,$183.01,0.0,
40,FReversalSwing(BUY),Buy to Open,23.0,$16.92,3/23/18,,$174.27,23.0,
41,FReversalSwing(BUY),Buy to Open,24.0,$16.54,3/26/18,,$209.52,47.0,
42,FReversalSwing(SELL),Sell to Close,-47.0,$17.56,5/14/18,$39.20,$222.21,0.0,
43,FReversalSwing(BUY),Buy to Open,24.0,$16.50,5/30/18,,$220.53,24.0,
44,FReversalSwing(BUY),Buy to Open,24.0,$16.58,6/1/18,,$226.65,48.0,
45,FReversalSwing(SELL),Sell to Close,-48.0,$14.78,6/27/18,($84.36),$137.85,0.0,
46,FReversalSwing(BUY),Buy to Open,27.0,$14.44,1/22/20,,$140.28,27.0,
47,FReversalSwing(BUY),Buy to Open,27.0,$14.53,1/23/20,,$135.96,54.0,
48,FReversalSwing(BUY),Buy to Open,27.0,$14.45,1/24/20,,$119.36,81.0,
49,FReversalSwing(SELL),Sell to Close,-81.0,$14.28,1/27/20,($15.50),$122.35,0.0,
50,FReversalSwing(BUY),Buy to Open,29.0,$13.53,4/28/21,,$125.25,29.0,
51,FReversalSwing(SELL),Sell to Close,-29.0,$13.03,5/3/21,($14.50),$107.85,0.0,
52,FReversalSwing(BUY),Buy to Open,36.0,$11.02,6/13/24,,$106.05,36.0,
53,FReversalSwing(BUY),Buy to Open,36.0,$10.97,6/14/24,,$108.93,72.0,
54,FReversalSwing(SELL),Sell to Close,-72.0,$11.64,6/21/24,$46.44,$154.29,0.0,
55,FReversalSwing(BUY),Buy to Open,36.0,$11.01,7/10/24,,$155.10,36.0,
56,FReversalSwing(BUY),Buy to Open,36.0,$11.03,7/11/24,,$163.56,72.0,
57,FReversalSwing(BUY),Buy to Open,36.0,$11.01,7/19/24,,$137.28,108.0,
58,FReversalSwing(SELL),Sell to Close,-108.0,$11.43,8/13/24,$44.55,$198.84,0.0,
59,FReversalSwing(BUY),Buy to Open,36.0,$10.86,9/4/24,,$197.76,36.0,
60,FReversalSwing(BUY),Buy to Open,36.0,$10.83,9/5/24,,$189.12,72.0,
61,FReversalSwing(BUY),Buy to Open,37.0,$10.71,9/6/24,,$179.31,109.0,
62,FReversalSwing(SELL),Sell to Close,-109.0,$11.44,9/24/24,$69.85,$268.69,0.0,
